100_GF,200_GF,300_GF,300_GF2,500_GF,1000_GF
183.9,187.2,185.7,190.7,179.6,188.8
201.9,188.5,185.2,195,178.1,186.9
196.7,192,193.9,187.2,179.1,184.1
193.5,184.7,184.7,184.9,180.6,189
197.3,195.5,187.6,183.2,184.4,186.9
200.6,184.7,187,189,182.6,184.1
197.3,184.7,187.8,186.6,184.1,191.5
195.4,194.2,188.9,186.9,187.8,187.4
191.1,192.4,186.5,189.7,181.3,183
194.8,190.2,192.5,183.9,186.5,188.4
198,195.5,182.8,182.5,185.7,184.3
203.9,188.5,189.7,186.9,186.2,185
186.2,184.7,186.5,181.9,190.5,192.4
184.5,192.8,190,186.2,190.8,190.9
191.1,188.1,187.8,186.6,190.3,194.2
193.5,192.8,184.1,189.3,184.1,189
197.3,188.1,187.8,189,195.8,190.9
186.8,189.4,193.3,186.9,190.5,192.4
191.1,187.2,188.9,183.5,191.9,192.8
194.2,186.4,184.9,192.5,187,194.2
191.7,191.1,190,184.2,184.9,183.2
189.8,192,189.7,187.2,187,192.6
,,191.4,,,
,,182.3,,,
